Susceptible,Infected,Recover,Dead,Iter,Zone
16,40,47,50,67,0
27,40,40,38,67,1
20,44,39,44,67,2
13,40,54,48,67,3
15,40,46,52,68,0
26,39,43,39,68,1
17,42,41,44,68,2
12,40,55,49,68,3
14,39,47,53,69,0
25,37,45,39,69,1
18,41,41,45,69,2
11,37,57,51,69,3
12,39,46,55,70,0
25,36,48,38,70,1
17,41,41,46,70,2
11,39,57,49,70,3
11,41,45,56,71,0
23,34,51,40,71,1
17,40,41,47,71,2
10,37,58,49,71,3
10,39,46,56,72,0
21,35,52,42,72,1
15,39,43,48,72,2
11,33,59,51,72,3
10,38,44,56,73,0
19,34,51,46,73,1
15,39,44,48,73,2
11,30,63,52,73,3
10,36,44,55,74,0
20,32,54,45,74,1
15,38,46,48,74,2
10,29,62,56,74,3
8,35,46,55,75,0
18,34,54,46,75,1
15,34,50,49,75,2
10,29,60,57,75,3
8,33,48,54,76,0
18,33,53,48,76,1
15,32,52,50,76,2
10,28,60,58,76,3
8,32,50,57,77,0
15,34,52,49,77,1
14,30,52,51,77,2
10,26,63,57,77,3
7,32,49,57,78,0
15,35,52,49,78,1
13,29,53,52,78,2
10,23,65,59,78,3
7,34,49,56,79,0
15,31,52,53,79,1
14,25,55,54,79,2
9,21,66,59,79,3
7,36,49,54,80,0
15,28,51,57,80,1
13,24,55,54,80,2
9,19,68,61,80,3
7,34,51,54,81,0
13,27,52,57,81,1
13,22,57,55,81,2
10,19,67,62,81,3
6,33,51,55,82,0
13,24,56,57,82,1
13,22,56,56,82,2
8,18,69,63,82,3
6,32,52,54,83,0
13,24,58,57,83,1
13,18,57,60,83,2
8,16,69,63,83,3
6,28,54,59,84,0
12,23,60,57,84,1
12,20,54,61,84,2
9,16,68,61,84,3
5,27,53,60,85,0
12,23,60,56,85,1
13,20,53,63,85,2
9,15,71,60,85,3
5,23,57,62,86,0
12,23,59,56,86,1
12,20,53,64,86,2
10,12,72,60,86,3
5,22,55,64,87,0
11,22,60,56,87,1
12,21,56,63,87,2
10,13,71,59,87,3
3,23,56,65,88,0
12,21,62,55,88,1
12,20,57,61,88,2
10,12,70,61,88,3
3,18,57,67,89,0
11,22,63,52,89,1
10,19,60,61,89,2
11,14,68,64,89,3
3,19,58,64,90,0
11,21,63,55,90,1
10,18,61,61,90,2
10,15,67,64,90,3
3,15,61,64,91,0
11,18,63,59,91,1
10,16,63,60,91,2
9,14,70,64,91,3
2,15,62,62,92,0
10,18,62,63,92,1
11,16,64,59,92,2
9,12,69,66,92,3
2,13,64,62,93,0
10,18,61,62,93,1
11,15,64,61,93,2
9,13,69,66,93,3
2,11,68,61,94,0
10,18,62,61,94,1
11,16,62,60,94,2
8,13,68,69,94,3
2,9,72,60,95,0
10,18,60,61,95,1
10,16,63,61,95,2
8,11,68,71,95,3
2,10,70,61,96,0
10,16,64,61,96,1
10,15,62,61,96,2
8,9,68,73,96,3
2,9,69,61,97,0
10,16,65,62,97,1
10,14,62,61,97,2
8,10,69,72,97,3
2,8,70,63,98,0
10,17,65,61,98,1
10,13,62,61,98,2
8,10,68,72,98,3
3,7,69,63,99,0
7,16,66,66,99,1
10,12,63,59,99,2
9,10,68,72,99,3
3,7,68,65,100,0
7,16,68,65,100,1
10,12,63,59,100,2
9,10,67,71,100,3
3,7,69,65,101,0
7,15,69,63,101,1
10,10,65,61,101,2
8,11,65,72,101,3
2,8,69,66,102,0
7,15,68,62,102,1
9,11,64,63,102,2
8,10,67,71,102,3
2,8,71,65,103,0
7,15,68,61,103,1
9,11,63,66,103,2
8,9,66,71,103,3
2,7,71,68,104,0
7,14,69,60,104,1
9,10,62,67,104,2
8,8,69,69,104,3
2,6,70,71,105,0
7,11,70,62,105,1
7,10,65,66,105,2
8,8,68,69,105,3
2,6,68,71,106,0
6,11,71,64,106,1
8,9,67,66,106,2
8,7,67,69,106,3
2,4,69,70,107,0
6,10,72,64,107,1
8,8,68,68,107,2
8,7,66,70,107,3
2,4,67,72,108,0
7,10,72,62,108,1
8,8,68,68,108,2
7,6,68,71,108,3
2,3,68,71,109,0
6,9,72,64,109,1
8,7,69,70,109,2
8,6,68,69,109,3
2,3,67,70,110,0
6,7,76,63,110,1
8,6,68,70,110,2
8,6,68,72,110,3
2,3,67,70,111,0
6,6,73,67,111,1
8,6,72,67,111,2
8,5,67,73,111,3
3,3,69,68,112,0
6,6,74,70,112,1
8,6,70,66,112,2
7,5,66,73,112,3
3,3,70,67,113,0
